#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.6480307272      -0.0232936024         1            38       +0.0004368900       inf
           2        -15.6500956476      -0.0020649204         2            76       +0.0001228771       inf
           3        -15.6504068992      -0.0003112517         3           114       +0.0000177856       inf
           4        -15.6504328095      -0.0000259103         4           152       +0.0000053063       inf
           5        -15.6504349584      -0.0000021489         5           190       +0.0000010672       inf
           6        -15.6504350041      -0.0000000457         6           228       +0.0000001533       inf
           7        -15.6504350044      -0.0000000003         7           266       +0.0000000198       inf
