#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.6496119878      -0.0248748630         1            38       +0.0001092226       inf
           2        -15.6503589465      -0.0007469587         2            76       +0.0000157631       inf
           3        -15.6504318097      -0.0000728632         3           114       +0.0000034129       inf
           4        -15.6504349472      -0.0000031374         4           152       +0.0000006560       inf
           5        -15.6504349799      -0.0000000327         5           190       +0.0000001463       inf
           6        -15.6504349746      +0.0000000053         6           228       +0.0000000832       inf
