#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.4216509501      +0.1365515376         1            32       +0.0143203674       2.178e+19
           2        -74.8041167305      +0.6175342196         2            64       +0.0295732126       4.356e+19
           3        -75.5641821868      -0.7600654563         3            96       +0.0063313640       6.534e+19
           4        -75.5882063518      -0.0240241650         4           128       +0.0033596017       8.712e+19
           5        -75.5909800408      -0.0027736889         5           160       +0.0029065093       1.089e+20
           6        -75.5989454589      -0.0079654181         6           192       +0.0003397241       1.307e+20
           7        -75.5989835704      -0.0000381116         7           224       +0.0002572804       1.525e+20
           8        -75.5990274867      -0.0000439162         8           256       +0.0001053136       1.742e+20
           9        -75.5990348028      -0.0000073161         9           288       +0.0000476511       1.960e+20
          10        -75.5990360419      -0.0000012391        10           320       +0.0000321979       2.178e+20
          11        -75.5990362841      -0.0000002422        11           352       +0.0000268331       2.396e+20
          12        -75.5990363372      -0.0000000531        12           384       +0.0000253922       2.614e+20
          13        -75.5990363491      -0.0000000119        13           416       +0.0000249706       2.831e+20
          14        -75.5990363424      +0.0000000067        14           448       +0.0000251420       3.049e+20
          15        -75.5990363420      +0.0000000004        15           480       +0.0000252042       3.267e+20
          16        -75.5990363448      -0.0000000029        16           512       +0.0000251450       3.485e+20
          17        -75.5990363429      +0.0000000020        17           544       +0.0000251533       3.703e+20
          18        -75.5990363439      -0.0000000011        18           576       +0.0000251757       3.920e+20
          19        -75.5990363448      -0.0000000009        19           608       +0.0000251480       4.138e+20
          20        -75.5990363431      +0.0000000017        20           640       +0.0000252027       4.356e+20
          21        -75.5990363422      +0.0000000009        21           672       +0.0000252467       4.574e+20
          22        -75.5990363421      +0.0000000001        22           704       +0.0000252378       4.792e+20
          23        -75.5990363420      +0.0000000001        23           736       +0.0000252414       5.009e+20
          24        -75.5990363419      +0.0000000001        24           768       +0.0000252293       5.227e+20
          25        -75.5990363413      +0.0000000007        25           800       +0.0000252357       5.445e+20
