#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5972086448      -0.0390061571         1            32       +0.0283744847       2.178e+19
           2        -75.5988271819      -0.0016185371         2            64       +0.0061694189       4.356e+19
           3        -75.5990306544      -0.0002034725         3            96       +0.0010745818       6.534e+19
           4        -75.5990362612      -0.0000056068         4           128       +0.0001608581       8.712e+19
           5        -75.5990363040      -0.0000000428         5           160       +0.0001076871       1.089e+20
           6        -75.5990363172      -0.0000000132         6           192       +0.0001071788       1.307e+20
           7        -75.5990363153      +0.0000000019         7           224       +0.0001059247       1.525e+20
           8        -75.5990363146      +0.0000000007         8           256       +0.0001060188       1.742e+20
           9        -75.5990363151      -0.0000000005         9           288       +0.0001062301       1.960e+20
          10        -75.5990363157      -0.0000000006        10           320       +0.0001061609       2.178e+20
          11        -75.5990363158      -0.0000000002        11           352       +0.0001061524       2.396e+20
          12        -75.5990363147      +0.0000000011        12           384       +0.0001061542       2.614e+20
          13        -75.5990363145      +0.0000000002        13           416       +0.0001061777       2.831e+20
          14        -75.5990363159      -0.0000000014        14           448       +0.0001061865       3.049e+20
          15        -75.5990363148      +0.0000000011        15           480       +0.0001061505       3.267e+20
          16        -75.5990363145      +0.0000000003        16           512       +0.0001061036       3.485e+20
          17        -75.5990363156      -0.0000000012        17           544       +0.0001061358       3.703e+20
          18        -75.5990363155      +0.0000000002        18           576       +0.0001061317       3.920e+20
          19        -75.5990363149      +0.0000000006        19           608       +0.0001061075       4.138e+20
          20        -75.5990363142      +0.0000000007        20           640       +0.0001061140       4.356e+20
          21        -75.5990363146      -0.0000000004        21           672       +0.0001061114       4.574e+20
          22        -75.5990363146      -0.0000000000        22           704       +0.0001061179       4.792e+20
          23        -75.5990363156      -0.0000000010        23           736       +0.0001061093       5.009e+20
          24        -75.5990363144      +0.0000000012        24           768       +0.0001060783       5.227e+20
          25        -75.5990363148      -0.0000000004        25           800       +0.0001060905       5.445e+20
