#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5267849778      +0.0314175100         1            32       +0.0282551269       6.600e+09
           2        -75.4717807056      +0.0550042722         2            64       +0.0377091962       1.320e+10
           3        -75.5957774381      -0.1239967325         3            96       +0.0073714431       1.980e+10
           4        -75.5935875309      +0.0021899071         4           128       +0.0078647361       2.640e+10
           5        -75.5981211238      -0.0045335928         5           160       +0.0057621029       3.300e+10
           6        -75.5986023892      -0.0004812654         6           192       +0.0040027459       3.960e+10
           7        -75.5986240559      -0.0000216667         7           224       +0.0042399257       4.620e+10
           8        -75.5986691655      -0.0000451096         8           256       +0.0038722796       5.280e+10
           9        -75.5978788432      +0.0007903223         9           288       +0.0035497478       5.940e+10
          10        -75.5985554831      -0.0006766399        10           320       +0.0033986864       6.600e+10
          11        -75.5985538101      +0.0000016730        11           352       +0.0033217474       7.260e+10
          12        -75.5985251622      +0.0000286479        12           384       +0.0028661962       7.920e+10
          13        -75.5986907485      -0.0001655864        13           416       +0.0031334525       8.580e+10
          14        -75.5986844399      +0.0000063086        14           448       +0.0033095130       9.240e+10
          15        -75.5987494702      -0.0000650303        15           480       +0.0032650875       9.900e+10
          16        -75.5987907124      -0.0000412422        16           512       +0.0025985347       1.056e+11
          17        -75.5987579378      +0.0000327745        17           544       +0.0025526469       1.122e+11
          18        -75.5988343936      -0.0000764557        18           576       +0.0025262427       1.188e+11
          19        -75.5988381290      -0.0000037354        19           608       +0.0029433697       1.254e+11
          20        -75.5986854787      +0.0001526503        20           640       +0.0022363865       1.320e+11
          21        -75.5987575174      -0.0000720387        21           672       +0.0024182437       1.386e+11
          22        -75.5988024447      -0.0000449273        22           704       +0.0024676472       1.452e+11
          23        -75.5987726603      +0.0000297844        23           736       +0.0023481461       1.518e+11
          24        -75.5987549343      +0.0000177260        24           768       +0.0022473529       1.584e+11
          25        -75.5987715898      -0.0000166555        25           800       +0.0020208365       1.650e+11
