#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.4216225609      +0.1365799269         1            32       +0.0143217404       2.178e+15
           2        -74.8040870527      +0.6175355082         2            64       +0.0295737662       4.356e+15
           3        -75.5642127447      -0.7601256920         3            96       +0.0063286214       6.534e+15
           4        -75.5882553458      -0.0240426010         4           128       +0.0033522631       8.712e+15
           5        -75.5910632332      -0.0028078874         5           160       +0.0028925049       1.089e+16
           6        -75.5989028727      -0.0078396395         6           192       +0.0004115474       1.307e+16
           7        -75.5989316071      -0.0000287344         7           224       +0.0003575210       1.525e+16
           8        -75.5990225504      -0.0000909433         8           256       +0.0001263221       1.742e+16
           9        -75.5990324993      -0.0000099489         9           288       +0.0000739078       1.960e+16
          10        -75.5990315163      +0.0000009830        10           320       +0.0000783948       2.178e+16
          11        -75.5990355422      -0.0000040260        11           352       +0.0000394202       2.396e+16
          12        -75.5990352779      +0.0000002644        12           384       +0.0000449083       2.614e+16
          13        -75.5990356367      -0.0000003588        13           416       +0.0000398865       2.831e+16
          14        -75.5990361092      -0.0000004726        14           448       +0.0000327950       3.049e+16
          15        -75.5990359895      +0.0000001197        15           480       +0.0000320141       3.267e+16
          16        -75.5990359084      +0.0000000811        16           512       +0.0000384466       3.485e+16
          17        -75.5990360735      -0.0000001651        17           544       +0.0000305902       3.703e+16
          18        -75.5990361387      -0.0000000652        18           576       +0.0000316210       3.920e+16
          19        -75.5990360060      +0.0000001327        19           608       +0.0000364697       4.138e+16
          20        -75.5990357056      +0.0000003005        20           640       +0.0000403278       4.356e+16
          21        -75.5990360497      -0.0000003441        21           672       +0.0000328628       4.574e+16
          22        -75.5990360123      +0.0000000373        22           704       +0.0000380140       4.792e+16
          23        -75.5990359228      +0.0000000895        23           736       +0.0000351150       5.009e+16
          24        -75.5990361013      -0.0000001785        24           768       +0.0000307654       5.227e+16
          25        -75.5990361378      -0.0000000365        25           800       +0.0000304449       5.445e+16
