#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.4251003554      +0.1331021324         1            32       +0.0283735916       2.178e+15
           2        -74.8622643952      +0.5628359602         2            64       +0.0577855804       4.356e+15
           3        -75.5800234207      -0.7177590255         3            96       +0.0094086277       6.534e+15
           4        -75.5923951080      -0.0123716873         4           128       +0.0054116145       8.712e+15
           5        -75.5972611696      -0.0048660616         5           160       +0.0028560821       1.089e+16
           6        -75.5990234222      -0.0017622526         6           192       +0.0002452039       1.307e+16
           7        -75.5990232482      +0.0000001739         7           224       +0.0002459907       1.525e+16
           8        -75.5990219683      +0.0000012799         8           256       +0.0002573797       1.742e+16
           9        -75.5990216998      +0.0000002684         9           288       +0.0002602293       1.960e+16
          10        -75.5990174312      +0.0000042686        10           320       +0.0002992048       2.178e+16
          11        -75.5990280141      -0.0000105828        11           352       +0.0002219707       2.396e+16
          12        -75.5990198002      +0.0000082139        12           384       +0.0003281202       2.614e+16
          13        -75.5989938488      +0.0000259514        13           416       +0.0005266553       2.831e+16
          14        -75.5989696149      +0.0000242339        14           448       +0.0006953575       3.049e+16
          15        -75.5989832277      -0.0000136127        15           480       +0.0006108524       3.267e+16
          16        -75.5989800969      +0.0000031307        16           512       +0.0006174397       3.485e+16
          17        -75.5989823589      -0.0000022619        17           544       +0.0006139696       3.703e+16
          18        -75.5989753863      +0.0000069725        18           576       +0.0005575518       3.920e+16
          19        -75.5990293175      -0.0000539311        19           608       +0.0002552141       4.138e+16
          20        -75.5990301883      -0.0000008708        20           640       +0.0002329276       4.356e+16
          21        -75.5990321582      -0.0000019699        21           672       +0.0001890851       4.574e+16
          22        -75.5990298191      +0.0000023390        22           704       +0.0002464477       4.792e+16
          23        -75.5990313445      -0.0000015253        23           736       +0.0002252619       5.009e+16
          24        -75.5990325772      -0.0000012328        24           768       +0.0002046603       5.227e+16
          25        -75.5990282901      +0.0000042871        25           800       +0.0002603144       5.445e+16
