#Efci:-153.4297174231
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -153.37355652887271      -0.01907104624740         2            52       +0.167993639641       2.552e+04
             2        -153.38434342311686      -0.01078689424415         3            78       +0.082927847163       3.828e+04
             3        -153.38614018676543      -0.00179676364857         5           130       +0.071855188432       6.380e+04
             4        -153.38650658692822      -0.00036640016279         7           182       +0.065531228862       8.931e+04
             5        -153.38659031221439      -0.00008372528617         8           208       +0.057073933836       1.021e+05
             6        -153.38659073366409      -0.00000042144970         9           234       +0.046068285046       1.148e+05
             7        -153.38659082143718      -0.00000008777309        10           260       +0.043530236135       1.276e+05
             8        -153.38659086704951      -0.00000004561232        11           286       +0.060090551414       1.403e+05
             9        -153.38659089525669      -0.00000002820718        12           312       +0.048805154834       1.531e+05
            10        -153.38659092553306      -0.00000003027637        13           338       +0.050036986174       1.659e+05
            11        -153.38659096417430      -0.00000003864125        14           364       +0.064385170300       1.786e+05
            12        -153.38659101372900      -0.00000004955470        15           390       +0.050644569581       1.914e+05
            13        -153.38659108010316      -0.00000006637416        16           416       +0.062960592843       2.041e+05
            14        -153.38659117074843      -0.00000009064527        17           442       +0.059612134899       2.169e+05
            15        -153.38659129813354      -0.00000012738511        18           468       +0.057892181000       2.297e+05
            16        -153.38659148640178      -0.00000018826825        19           494       +0.057875177254       2.424e+05
            17        -153.38659298639740      -0.00000149999562        21           546       +0.061807257410       2.679e+05
            18        -153.38659548355795      -0.00000249716055        22           572       +0.049535525850       2.807e+05
            19        -153.38660008688549      -0.00000460332754        23           598       +0.061542091094       2.935e+05
            20        -153.38663928310842      -0.00003919622293        25           650       +0.049478236821       3.190e+05
            21        -153.38678068297259      -0.00014139986416        27           702       +0.050076363627       3.445e+05
            22        -153.38678068297270      -0.00000000000011        43          1118       +0.029068798140       5.486e+05
            23        -153.38678068297270      +0.00000000000000        47          1222       +0.051273087601       5.997e+05
