#Efci:-153.4297174231
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -153.37504962030457      -0.02056413767926         2            52       +0.150298744816       2.552e+12
             2        -153.38471218802377      -0.00966256771920         3            78       +0.050737883548       3.828e+12
             3        -153.38672273952076      -0.00201055149699         4           104       +0.015871881136       5.104e+12
             4        -153.38682654648051      -0.00010380695974         5           130       +0.004526499535       6.380e+12
             5        -153.38684332859165      -0.00001678211115         6           156       +0.001166919240       7.655e+12
             6        -153.38684416274950      -0.00000083415785         7           182       +0.000318386113       8.931e+12
             7        -153.38684420084365      -0.00000003809416         8           208       +0.000026126597       1.021e+13
             8        -153.38684420110320      -0.00000000025955         9           234       +0.000007774626       1.148e+13
             9        -153.38684420111070      -0.00000000000750        11           286       +0.000006833528       1.403e+13
            10        -153.38684420111457      -0.00000000000387        12           312       +0.000004934894       1.531e+13
            11        -153.38684420111457      +0.00000000000000        13           338       +0.000006411697       1.659e+13
