#Efci:-154.4194058179
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -154.41664425529328      -0.01978710718265         3            45       +0.090997768887       7.624e+13
             2        -154.41837946587239      -0.00173521057911         4            60       +0.060385416413       1.017e+14
             3        -154.41936898390452      -0.00098951803213         5            75       +0.011750229085       1.271e+14
             4        -154.41938445615185      -0.00001547224733         6            90       +0.009136014443       1.525e+14
             5        -154.41940384738450      -0.00001939123266         7           105       +0.002560852789       1.779e+14
             6        -154.41940525290360      -0.00000140551910         8           120       +0.001442668556       2.033e+14
             7        -154.41940576717238      -0.00000051426878         9           135       +0.000497985492       2.287e+14
             8        -154.41940578879294      -0.00000002162056        10           150       +0.000344825721       2.541e+14
             9        -154.41940581590350      -0.00000002711056        11           165       +0.000093584172       2.796e+14
            10        -154.41940581785977      -0.00000000195627        12           180       +0.000012954018       3.050e+14
            11        -154.41940581788367      -0.00000000002390        13           195       +0.000010213300       3.304e+14
            12        -154.41940581790348      -0.00000000001981        14           210       +0.000003383284       3.558e+14
            13        -154.41940581790365      -0.00000000000017        17           255       +0.000005273702       4.320e+14
            14        -154.41940581790371      -0.00000000000006        21           315       +0.000003852682       5.337e+14
            15        -154.41940581790371      +0.00000000000000        26           390       +0.000004108148       6.608e+14
