#Efci:-154.4194058179
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -154.41657633471311      -0.01971918660249         3            45       +0.118208384620       7.624e+05
             2        -154.41865254236200      -0.00207620764888         5            75       +0.075053883334       1.271e+06
             3        -154.41907938857398      -0.00042684621198         7           105       +0.046196717703       1.779e+06
             4        -154.41913181485086      -0.00005242627688         8           120       +0.042948087318       2.033e+06
             5        -154.41913491381717      -0.00000309896632         9           135       +0.053783801764       2.287e+06
             6        -154.41913726528924      -0.00000235147206        10           150       +0.045894968396       2.541e+06
             7        -154.41918876811573      -0.00005150282649        13           195       +0.045122507163       3.304e+06
             8        -154.41923157877139      -0.00004281065566        14           210       +0.041907813931       3.558e+06
             9        -154.41924865444926      -0.00001707567787        15           225       +0.036711779843       3.812e+06
            10        -154.41925100129203      -0.00000234684276        16           240       +0.032810450962       4.066e+06
            11        -154.41925183959236      -0.00000083830034        17           255       +0.048089402227       4.320e+06
            12        -154.41925229524816      -0.00000045565579        18           270       +0.036868916418       4.574e+06
            13        -154.41925373739141      -0.00000144214326        20           300       +0.031677778046       5.083e+06
            14        -154.41925967200987      -0.00000593461846        22           330       +0.039605849796       5.591e+06
            15        -154.41926292632348      -0.00000325431361        23           345       +0.056313997410       5.845e+06
            16        -154.41926435328745      -0.00000142696396        24           360       +0.035726604984       6.099e+06
            17        -154.41926531745500      -0.00000096416755        25           375       +0.053534188787       6.353e+06
            18        -154.41926589780337      -0.00000058034837        26           390       +0.028970138897       6.608e+06
            19        -154.41926936844615      -0.00000347064278        28           420       +0.033991762387       7.116e+06
            20        -154.41927173923091      -0.00000237078476        31           465       +0.050571717856       7.878e+06
            21        -154.41927274593260      -0.00000100670169        32           480       +0.040259942973       8.132e+06
            22        -154.41927351070646      -0.00000076477386        33           495       +0.045967423901       8.387e+06
            23        -154.41927370260743      -0.00000019190097        35           525       +0.039766562606       8.895e+06
            24        -154.41927405885812      -0.00000035625069        37           555       +0.052537028580       9.403e+06
            25        -154.41927411423279      -0.00000005537467        39           585       +0.045740730197       9.911e+06
            26        -154.41927416744008      -0.00000005320729        40           600       +0.036184672693       1.017e+07
            27        -154.41927847799940      -0.00000431055932        46           690       +0.045791797291       1.169e+07
            28        -154.41927888920222      -0.00000041120282        48           720       +0.053417604469       1.220e+07
            29        -154.41927961031311      -0.00000072111089        52           780       +0.030725798538       1.322e+07
            30        -154.41927961031323      -0.00000000000011        72          1080       +0.045928337542       1.830e+07
            31        -154.41927961031323      +0.00000000000000        76          1140       +0.039224248943       1.931e+07
