#Efci:-38.8089954648
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -38.77943558780879      -0.04142514965410         3           612       +0.976019772386       4.511e+14
             2        -38.79664479592574      -0.01720920811695         5          1020       +0.403220811650       7.519e+14
             3        -38.80054295344172      -0.00389815751598         7          1428       +0.164788226184       1.053e+15
             4        -38.80304190265585      -0.00249894921413         8          1632       +0.439291387411       1.203e+15
             5        -38.80509311187003      -0.00205120921418         9          1836       +0.155661223619       1.353e+15
             6        -38.80569340892652      -0.00060029705649        11          2244       +0.124918817169       1.654e+15
             7        -38.80668580077338      -0.00099239184686        12          2448       +0.101728487496       1.804e+15
             8        -38.80706998635446      -0.00038418558108        14          2856       +0.143652875578       2.105e+15
             9        -38.80757000073508      -0.00050001438061        15          3060       +0.128585328229       2.256e+15
            10        -38.80821993823611      -0.00064993750104        16          3264       +0.072213079464       2.406e+15
            11        -38.80829133257815      -0.00007139434204        18          3672       +0.082423938104       2.707e+15
            12        -38.80840959418229      -0.00011826160414        19          3876       +0.062379187729       2.857e+15
            13        -38.80845243595100      -0.00004284176871        20          4080       +0.082811308080       3.007e+15
            14        -38.80847445897574      -0.00002202302474        22          4488       +0.075239957199       3.308e+15
            15        -38.80851452835498      -0.00004006937924        23          4692       +0.064501575888       3.459e+15
            16        -38.80853015879325      -0.00001563043827        24          4896       +0.063070720044       3.609e+15
            17        -38.80855508788362      -0.00002492909037        25          5100       +0.051928956751       3.759e+15
            18        -38.80858448968058      -0.00002940179697        26          5304       +0.039605766839       3.910e+15
            19        -38.80859323320524      -0.00000874352466        28          5712       +0.034505543798       4.210e+15
            20        -38.80860430335999      -0.00001107015475        29          5916       +0.025169241206       4.361e+15
            21        -38.80861029604694      -0.00000599268695        30          6120       +0.018818493822       4.511e+15
            22        -38.80861287963998      -0.00000258359304        31          6324       +0.017358951476       4.662e+15
            23        -38.80861638802484      -0.00000350838486        32          6528       +0.011590901836       4.812e+15
            24        -38.80861757704439      -0.00000118901955        34          6936       +0.010286909481       5.113e+15
            25        -38.80861823836975      -0.00000066132535        35          7140       +0.009399799625       5.263e+15
            26        -38.80861916047127      -0.00000092210153        36          7344       +0.006659364226       5.413e+15
            27        -38.80861925245498      -0.00000009198371        37          7548       +0.006187585694       5.564e+15
            28        -38.80861938382375      -0.00000013136876        38          7752       +0.005615735824       5.714e+15
            29        -38.80861957328160      -0.00000018945786        39          7956       +0.004909766925       5.865e+15
            30        -38.80861979093773      -0.00000021765612        40          8160       +0.003891277583       6.015e+15
            31        -38.80861994990633      -0.00000015896860        41          8364       +0.003194449107       6.165e+15
            32        -38.80862006983979      -0.00000011993346        42          8568       +0.002794499094       6.316e+15
            33        -38.80862014382539      -0.00000007398560        43          8772       +0.002696800930       6.466e+15
            34        -38.80862019838811      -0.00000005456272        44          8976       +0.002252423642       6.616e+15
            35        -38.80862023648654      -0.00000003809843        45          9180       +0.002223144574       6.767e+15
            36        -38.80862027023348      -0.00000003374694        46          9384       +0.002242356202       6.917e+15
            37        -38.80862030077988      -0.00000003054640        47          9588       +0.002225472411       7.068e+15
            38        -38.80862032484066      -0.00000002406078        48          9792       +0.002117748962       7.218e+15
            39        -38.80862034546850      -0.00000002062784        49          9996       +0.002002663098       7.368e+15
            40        -38.80862036384452      -0.00000001837601        50         10200       +0.001998363501       7.519e+15
            41        -38.80862038008664      -0.00000001624212        51         10404       +0.001849399374       7.669e+15
            42        -38.80862039019539      -0.00000001010875        52         10608       +0.001848619609       7.819e+15
            43        -38.80862039807499      -0.00000000787960        53         10812       +0.001960293300       7.970e+15
            44        -38.80862040435030      -0.00000000627531        54         11016       +0.001916015615       8.120e+15
            45        -38.80862040919824      -0.00000000484794        55         11220       +0.002068048320       8.271e+15
            46        -38.80862041368560      -0.00000000448735        56         11424       +0.001786099510       8.421e+15
            47        -38.80862041831524      -0.00000000462965        57         11628       +0.001912855988       8.571e+15
            48        -38.80862042294935      -0.00000000463410        58         11832       +0.001907795345       8.722e+15
            49        -38.80862042770968      -0.00000000476034        59         12036       +0.001807858610       8.872e+15
            50        -38.80862043249677      -0.00000000478709        60         12240       +0.001846308519       9.022e+15
