#Efci:-148.8881375281
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -148.83484958619988      -0.05079348713966         3           162       +1.396053119106       1.024e+12
             2        -148.85747613550697      -0.02262654930709         5           270       +0.640550239819       1.706e+12
             3        -148.86278393276456      -0.00530779725759         7           378       +0.350854272716       2.388e+12
             4        -148.86838365557114      -0.00559972280658         8           432       +0.483971959213       2.730e+12
             5        -148.87083334071789      -0.00244968514676        10           540       +0.236827643914       3.412e+12
             6        -148.87165719397538      -0.00082385325749        12           648       +0.223027820129       4.094e+12
             7        -148.87258694287786      -0.00092974890248        13           702       +0.244413179172       4.436e+12
             8        -148.87305140559704      -0.00046446271918        14           756       +0.225213390760       4.777e+12
             9        -148.87319796755324      -0.00014656195620        16           864       +0.197474744397       5.459e+12
            10        -148.87323151985814      -0.00003355230490        18           972       +0.204619468667       6.142e+12
            11        -148.87326345831025      -0.00003193845211        19          1026       +0.220968134278       6.483e+12
            12        -148.87329897982832      -0.00003552151807        20          1080       +0.222006805266       6.824e+12
            13        -148.87334109139758      -0.00004211156926        21          1134       +0.219173605022       7.165e+12
            14        -148.87338547451873      -0.00004438312115        22          1188       +0.203902061699       7.506e+12
            15        -148.87344220506418      -0.00005673054545        23          1242       +0.217435921469       7.848e+12
            16        -148.87351317987793      -0.00007097481375        24          1296       +0.216905746465       8.189e+12
            17        -148.87357196375766      -0.00005878387972        25          1350       +0.212135477384       8.530e+12
            18        -148.87360316252696      -0.00003119876931        26          1404       +0.202845375263       8.871e+12
            19        -148.87363109083327      -0.00002792830631        27          1458       +0.198538551969       9.213e+12
            20        -148.87366486520602      -0.00003377437275        28          1512       +0.180905823679       9.554e+12
            21        -148.87369806899150      -0.00003320378548        29          1566       +0.190464315892       9.895e+12
            22        -148.87373415584980      -0.00003608685830        30          1620       +0.204341180605       1.024e+13
            23        -148.87375413080551      -0.00001997495571        31          1674       +0.178750493149       1.058e+13
            24        -148.87377291691828      -0.00001878611278        32          1728       +0.174702868999       1.092e+13
            25        -148.87378865855536      -0.00001574163707        33          1782       +0.202048539474       1.126e+13
            26        -148.87380609598210      -0.00001743742675        34          1836       +0.188177859659       1.160e+13
            27        -148.87382417331347      -0.00001807733136        35          1890       +0.184057607994       1.194e+13
            28        -148.87384328206946      -0.00001910875599        36          1944       +0.195934638559       1.228e+13
            29        -148.87387203796510      -0.00002875589564        37          1998       +0.188918704638       1.262e+13
            30        -148.87390134110180      -0.00002930313670        38          2052       +0.153733529976       1.297e+13
            31        -148.87391957287394      -0.00001823177215        39          2106       +0.170273154861       1.331e+13
            32        -148.87393270628471      -0.00001313341076        40          2160       +0.145333272014       1.365e+13
            33        -148.87394242968472      -0.00000972340001        41          2214       +0.155912280471       1.399e+13
            34        -148.87395072070029      -0.00000829101558        42          2268       +0.142440660428       1.433e+13
            35        -148.87395219648187      -0.00000147578157        44          2376       +0.143222442940       1.501e+13
            36        -148.87395252097738      -0.00000032449552        45          2430       +0.153069013615       1.535e+13
            37        -148.87395278713711      -0.00000026615973        46          2484       +0.143896841071       1.570e+13
            38        -148.87395311162285      -0.00000032448574        47          2538       +0.113396650940       1.604e+13
            39        -148.87395362328081      -0.00000051165796        48          2592       +0.150610682326       1.638e+13
            40        -148.87397031726843      -0.00001669398762        51          2754       +0.120659259041       1.740e+13
            41        -148.87398299635439      -0.00001267908596        52          2808       +0.146694852537       1.774e+13
            42        -148.87398432321504      -0.00000132686066        53          2862       +0.138331851043       1.808e+13
            43        -148.87398432321510      -0.00000000000006        65          3510       +0.130239120575       2.218e+13
            44        -148.87398432321532      -0.00000000000023        67          3618       +0.133307561107       2.286e+13
            45        -148.87398432321558      -0.00000000000026        68          3672       +0.155562335936       2.320e+13
            46        -148.87398432321586      -0.00000000000028        69          3726       +0.132571974999       2.354e+13
            47        -148.87398432322320      -0.00000000000733        72          3888       +0.140719342648       2.457e+13
            48        -148.87398432323332      -0.00000000001012        73          3942       +0.128699443458       2.491e+13
            49        -148.87398432324790      -0.00000000001458        74          3996       +0.147362541754       2.525e+13
            50        -148.87398432335780      -0.00000000010991        76          4104       +0.132651057034       2.593e+13
